Country,Code,Trans-Pacific Partnership,NATO Article 5,Iran Nuclear Deal,UN Relief and Works Agency,UNESCO,INF Treaty,G-7 Joint Statement,UN Human Rights Council,NAFTA,Paris Climate Agreement,Open Skies Treaty,WHO
Somalia,SOM,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Africa,ZAF,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Korea,KOR,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
South Sudan,SSD,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Signatory,#N/A,Member
Spain,ESP,#N/A,Affirms,Signatory,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,Ratifier,Member
Sri Lanka,LKA,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Sudan,SDN,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Suriname,SUR,#N/A,#N/A,#N/A,#N/A,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
Sweden,SWE,#N/A,#N/A,Signatory,Member,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,Ratifier,Member
Switzerland,CHE,#N/A,#N/A,#N/A,Member,Member,#N/A,#N/A,Currently serving / previously fulfilled elected term,#N/A,Ratifier,#N/A,Member
Syria,SYR,#N/A,#N/A,#N/A,Member,Member,#N/A,#N/A,#N/A,#N/A,Ratifier,#N/A,Member
